seed,member,kind,epochs,threads,params,minutes,core_minutes,val,test,best_ep,file
0,fno200,fno,200,7,6447873,2100.0,14700.0,0.04820101087349486,0.04800039162629545,29,fno200_s0_w64_m14_L4_mir.json
0,fno,fno,100,10,6447873,661.77,6617.7,0.04749162862312737,0.047120949809460536,99,fno_s0_w64_m14_L4_mir.json
0,hpix,perpixel,,,,,,,0.04570813874500456,,hpix.json
0,hpix5,perpixel,,,,,,,0.045992071975763,,hpix5.json
0,hpix5,hybrid,,,,,,,,,hpix5_corr.json
0,hpix5,split_conformal,,,,,,,,,hpix5_uq.json
0,hpix,hybrid,,,,,,,,,hpix_corr.json
0,hpix,split_conformal,,,,,,,,,hpix_uq.json
0,hstk,hybrid,,,,,,,,,hstk.json
0,hstk5,hybrid,,,,,,,,,hstk5.json
0,krr_full,krr,,,,5.83,,0.05210911337557063,0.05194521606464514,,krr_full_matern52_n19000.json
0,mlpMSE,mlp,120,16,,2.58,41.3,0.0473253261921037,0.04712091934178969,99,mlpMSE_s0_w1024_d4_n19000_mir.json
0,mlpR,mlpR,100,16,,2.6,41.5,0.04761980280099688,0.047283166466304434,99,mlpR_s0_w1024_d4.json
0,mlp,mlp,400,16,,8.83,141.4,0.050145018761133274,0.0498123313677073,69,mlp_s0_w1024_d4_n19000_mir.json
0,unet,unet,100,10,4382977,583.26,5832.6,0.04748975000270619,0.047239320156424965,99,unet_s0_w48_mir.json
1,fno,fno,100,10,6447873,663.16,6631.6,0.04677214713992666,0.047169304741260736,99,fno_s1_w64_m14_L4_mir.json
1,hpix,perpixel,,,,,,,0.04573520459533818,,hpix.json
1,hpix5,perpixel,,,,,,,0.04600889994113213,,hpix5.json
1,hpix5,hybrid,,,,,,,,,hpix5_corr.json
1,hpix5,split_conformal,,,,,,,,,hpix5_uq.json
1,hpix,hybrid,,,,,,,,,hpix_corr.json
1,hpix,split_conformal,,,,,,,,,hpix_uq.json
1,hstk,hybrid,,,,,,,,,hstk.json
1,hstk5,hybrid,,,,,,,,,hstk5.json
1,krr_full,krr,,,,7.85,,0.05171192426626442,0.052002769288151965,,krr_full_matern52_n19000.json
