PIPELINE
  errPipe          paper=4.572    measured=4.572    
  errPipeSd        paper=0.010    measured=0.010    
  errStack         paper=4.595    measured=4.595    
  errStackSd       paper=0.008    measured=0.008    
  errPipeFour      paper=4.611    measured=4.611    
  errPipeFourSd    paper=0.005    measured=0.005    
  fnoGain          paper=0.039    measured=0.039    
  fnoGainSd        paper=0.011    measured=0.011    
  corrGain         paper=0.024    measured=0.024    
  corrGainSd       paper=0.005    measured=0.005    
ENSEMBLE
  errEnsEq         paper=4.648    measured=4.648    
  errEnsEqSd       paper=0.005    measured=0.005    
  errEnsFit        paper=4.627    measured=4.627    
  errEnsFitSd      paper=0.006    measured=0.006    
  errEndToEnd      paper=0.140    measured=0.140    
  errEndToEndSd    paper=0.014    measured=0.014    
ERROR LOCALISATION
  hardBest         paper=10.24    measured=10.24    
  hardEns          paper=10.18    measured=10.18    
  hardAll          paper=10.28    measured=10.28    
  medRel           paper=4.44     measured=4.44     
SIX-MEMBER CAMPAIGN
  errSix           paper=4.546    measured=4.546    
  errSixSd         paper=0.003    measured=0.003    
  errSixStack      paper=4.567    measured=4.567    
  errSixStackSd    paper=0.004    measured=0.004    
  corrGainSix      paper=0.021    measured=0.021    
  corrGainSixSd    paper=0.003    measured=0.003    
  errSixGlob       paper=4.602    measured=4.602    
  errSixGlobSd     paper=0.003    measured=0.003    
  errSixGlobCorr   paper=4.554    measured=4.554    
  errSixGlobCorrSd paper=0.004    measured=0.004    
  sixGain          paper=0.026    measured=0.026    
  sixGainSd        paper=0.010    measured=0.010    
  errFNOc          paper=4.682    measured=4.682    
  errFNOcSd        paper=0.009    measured=0.009    
  errUNet          paper=4.740    measured=4.740    
  errUNetSd        paper=0.030    measured=0.030    
  fnoCompleteGain  paper=0.072    measured=0.072    
  fnoCompleteGainSd paper=0.031    measured=0.031    
  errEndToEndSix   paper=0.135    measured=0.135    
  errEndToEndSixSd paper=0.008    measured=0.008    
  unetGain         paper=0.032    measured=0.032    
  unetGainSd       paper=0.004    measured=0.004    
  errFiveC         paper=4.578    measured=4.578    
  errFiveCSd       paper=0.005    measured=0.005    
  fnoScheduleWash  paper=0.006    measured=0.006    
  fnoScheduleWashSd paper=0.013    measured=0.013    
  predRMSFiveC     paper=4.940    measured=4.940    
  fnoRmsA          paper=5.047    measured=5.047    
  tRatioA          paper=1.006    measured=1.006    
  vTwoA            paper=4.98     measured=4.98     
  exchRateA        paper=1.7      measured=1.7      
  fnoRmsB          paper=4.991    measured=4.991    
  fnoImprove       paper=1.1      measured=1.1      
  tRatioB          paper=0.995    measured=0.995    
  rhoFnoB          paper=0.976    measured=0.976    
  vTwoB            paper=4.97     measured=4.97     
  exchRateB        paper=2.5      measured=2.5      
  saWithinLo       paper=0.92     measured=0.92     
  saWithinHi       paper=0.99     measured=0.99     
  saWithinMean     paper=0.98     measured=0.98     
  saBetweenLo      paper=0.83     measured=0.83     
  saBetweenHi      paper=0.98     measured=0.98     
  saBetweenMean    paper=0.92     measured=0.92     
  saFnoOne         paper=4.679    measured=4.679    
  saFnoOneRms      paper=4.967    measured=4.967    
  saFnoTen         paper=4.649    measured=4.649    
  saFnoTenRms      paper=4.940    measured=4.940    
  saMseOne         paper=4.709    measured=4.709    
  saMseTen         paper=4.680    measured=4.680    
  saMlpGain        paper=0.16     measured=0.16     
  saSixEq          paper=4.623    measured=4.623    
  saSixEqSd        paper=0.003    measured=0.003    
  saSixEqRms       paper=4.916    measured=4.916    
  saSixEqRmsSd     paper=0.003    measured=0.003    
  saSixConvex      paper=4.600    measured=4.600    
  saSixConvexSd    paper=0.003    measured=0.003    
  saSixtyEq        paper=4.611    measured=4.611    
  saSixtyEqRms     paper=4.905    measured=4.905    
  saSixtyConvex    paper=4.586    measured=4.586    
  saSixtyConvexRms paper=4.880    measured=4.880    
  saSixtyOracle    paper=4.581    measured=4.581    
  saSixtyOracleRms paper=4.876    measured=4.876    
  saFiftyEq        paper=4.630    measured=4.630    
  saPerpixMeans    paper=4.556    measured=4.556    
  saPerpixSeedZero paper=4.567    measured=4.567    
  saPerpixSixty    paper=4.682    measured=4.682    
  saHardSingle     paper=10.71    measured=10.71    
  saHardTen        paper=10.66    measured=10.66    
  saHardSixty      paper=10.63    measured=10.63    
  saHardMedian     paper=4.43     measured=4.43     
  saBound          paper=4.814    measured=4.814    
  saDeployedEv     paper=4.543    measured=4.543    
  saDeployedEvSd   paper=0.003    measured=0.003    
  saPoolPipeline   paper=4.533    measured=4.533    
  saPerpixMeans    paper=4.556    measured=4.556    
  saDropMlpR       paper=0.021    measured=0.021    
  saDropUnet       paper=0.018    measured=0.018    
  saDropFno        paper=0.005    measured=0.005    
  saDropKrr        paper=0.001    measured=0.001    
  saOnlyFnoRms     paper=4.937    measured=4.937    
  saOnlyMlpRRms    paper=4.979    measured=4.979    
  saCorrMlpRUnet   paper=0.92     measured=0.92     
  saCorrMlpRFno    paper=0.94     measured=0.94     
  saCorrMseFno     paper=0.97     measured=0.97     
  lcMlpOneK        paper=5.985    measured=5.985    
  lcMlpOneKSd      paper=0.028    measured=0.028    
  lcMlpTwoK        paper=5.320    measured=5.320    
  lcMlpTwoKSd      paper=0.013    measured=0.013    
  lcMlpFourK       paper=4.966    measured=4.966    
  lcMlpFourKSd     paper=0.005    measured=0.005    
  lcMlpEightK      paper=4.799    measured=4.799    
  lcMlpEightKSd    paper=0.003    measured=0.003    
  lcMlpTwelveK     paper=4.743    measured=4.743    
  lcMlpTwelveKSd   paper=0.009    measured=0.009    
  lcMlpSixteenK    paper=4.719    measured=4.719    
  lcMlpSixteenKSd  paper=0.003    measured=0.003    
  lcMlpNineteenK   paper=4.712    measured=4.712    
  lcMlpNineteenKSd paper=0.004    measured=0.004    
  lcKrrOneK        paper=6.924    measured=6.924    
  lcKrrFourK       paper=5.761    measured=5.761    
  lcKrrEightK      paper=5.444    measured=5.444    
  lcKrrSixteenK    paper=5.254    measured=5.254    
  lcKrrNineteenK   paper=5.198    measured=5.198    
  lcSlopeMlp       paper=0.022    measured=0.022    
  lcSlopeMlpSd     paper=0.001    measured=0.001    
  lcSlopeKrr       paper=0.052    measured=0.052    
  lcLastGain       paper=0.006    measured=0.006    
  lcLastGainSd     paper=0.004    measured=0.004    
  lcLastTwoGain    paper=0.030    measured=0.030    
  lcLastTwoGainSd  paper=0.010    measured=0.010    
  uqDisSix         paper=90.1     measured=90.1     
  uqDisSixSd       paper=0.4      measured=0.4      
  uqDisSixHi       paper=95.0     measured=95.0     
  uqDisSixHiSd     paper=0.8      measured=0.8      
  csCapSix         paper=0.389    measured=0.389    
  csCapTwelve      paper=0.420    measured=0.420    
  csCapTwentyFour  paper=0.432    measured=0.432    
  csCapTwentyFourB paper=0.446    measured=0.446    
  normRatio        paper=4900     measured=4900     
  normRatioNorm    paper=8.8      measured=8.8      
  normEnergyRatio  paper=560      measured=560      
  alignDeffRaw     paper=3995     measured=3995     
  alignDeffFeat    paper=3993     measured=3993     
  alignRatioNorm   paper=38       measured=38       
  alignRatioP      paper=1.5      measured=1.5      
  alignRatioLo     paper=6        measured=6        
  alignRatioHi     paper=154      measured=154      
  alignRatioSel    paper=273      measured=273      
  alignRatioPSel   paper=0.99     measured=0.99     
  alignRatioHeavy  paper=0.2      measured=0.2      
  alignRatioFullSel paper=139      measured=139      
  alignRatioFull   paper=77       measured=77       
  specSharedEnergy paper=0.96     measured=0.96     
  specCompsLo      paper=39       measured=39       
  specCompsHi      paper=48       measured=48       
  specEffRank      paper=8        measured=8        
  normRatioLo      paper=1800     measured=1800     
  normRatioNormLo  paper=3.2      measured=3.2      
  costCoefM        paper=31.9     measured=31.9     
  costGramS        paper=27       measured=27       
  costCholS        paper=22       measured=22       
  costSolveS       paper=11       measured=11       
  costPeakBlockGb  paper=6.0      measured=6.0      
  costPeakNaiveGb  paper=19.2     measured=19.2     
  costQueryOneMs   paper=14       measured=14       
  costQueryBatchMs paper=1.7      measured=1.7      
  uqPlamSix        paper=89.9     measured=89.9     
  uqPlamSixSd      paper=0.8      measured=0.8      
  uqRawSix         paper=90.4     measured=90.4     
  uqRawSixSd       paper=0.8      measured=0.8      
  uqPlamSixHi      paper=95.0     measured=95.0     
  uqPlamSixHiSd    paper=0.6      measured=0.6      
  uqRawSixHi       paper=95.4     measured=95.4     
  uqRawSixHiSd     paper=0.5      measured=0.5      
  uqPlamFive       paper=90.1     measured=90.1     
  uqPlamFiveSd     paper=0.9      measured=0.9      
  uqRawFive        paper=90.6     measured=90.6     
  uqRawFiveSd      paper=0.4      measured=0.4      
  uqPlamFiveHi     paper=95.1     measured=95.1     
  uqPlamFiveHiSd   paper=0.8      measured=0.8      
  uqRawFiveHi      paper=95.4     measured=95.4     
  uqRawFiveHiSd    paper=0.6      measured=0.6      
  uqWidthRatio     paper=1.11     measured=1.11     
  uqSpearman       paper=0.03     measured=0.03     
  uqCorrAbs        paper=0.055    measured=0.055    
  predRMSSix       paper=4.920    measured=4.920    
  predRMSSixSd     paper=0.057    measured=0.057    
  dispFacSix       paper=0.938    measured=0.938    
  dispFacSixSd     paper=0.003    measured=0.003    
  corrBarSix       paper=0.918    measured=0.918    
  corrBarSixSd     paper=0.005    measured=0.005    
  ensFloorSix      paper=4.908    measured=4.908    
  ensFloorSixSd    paper=0.057    measured=0.057    
  errSixEq         paper=4.626    measured=4.626    
